book,chapter,verse,text
Joshua,6,6,"A) Charge the people to go round, and encompass the city; and let your men of war pass on armed before the Lord. Joshua 6:8 Joshua 6:9 And let the men of war proceed before, and the priests bringing up the rear behind the ark of the covenant of the Lord proceed sounding the trumpets. Joshua 6:10 And Joshua commanded the people, saying, Cry not out, nor let any one hear your voice, until he himself declare to you the time to cry out, and then ye shall cry out. Joshua 6:11 And the ark of the covenant of God having gone round immediately returned into the camp, and lodged there. Joshua 6:12 And on the second day Joshua rose up in the morning, and the priests took up the ark of the covenant of the Lord. Joshua 6:13 And the seven priests bearing the seven trumpets went on before the Lord; and afterwards the men of war went on, and the remainder of the multitude went after the ark of the covenant of the Lord, and the priests sounded with the trumpets. Joshua 6:14 And all the rest of the multitude compassed the city six times from within a short distance, and went back again into the camp; this they did six days. Joshua 6:15 And on the seventh day they rose up early, and compassed the city on that day seven times. Joshua 6:16 And it came to pass at the seventh circuit the priests blew the trumpets; and Joshua said to the children of Israel, Shout, for the Lord has given you the city. Joshua 6:17 ¶ And the city shall be devoted, it and all things that are in it, to the Lord of Hosts: only do ye save Raab the harlot, and all things in her house. Joshua 6:18 But keep yourselves strictly from the accursed thing, lest ye set your mind upon and take of the accursed thing, and ye make the camp of the children of Israel and accursed thing, and destroy us. Joshua 6:19 And all the silver, or gold, or brass, or iron, shall be holy to the Lord; it shall be carried into the treasury of the Lord. Joshua 6:20 And the priests sounded with the trumpets: and when the people heard the trumpets, all the people shouted at once with a loud and strong shout; and all the wall fell round about, and all the people went up into the city: Joshua 6:21 and Joshua devoted it to destruction, and all things that were in the city, man and woman, young man and old, and calf and ass, with the edge of the sword. Joshua 6:22 And Joshua said to the two young men who had acted a spies, Go into the house of the woman, and bring her out thence, and all that she has. Joshua 6:23 And the two young men who had spied out the city entered into the house of the woman, and brought out Raab the harlot, and her father, and her mother, and her brethren, and her kindred, and all that she had; and they set her without the camp of Israel. Joshua 6:24 And the city was burnt with fire with all things that were in it; only of the silver, and gold, and brass, and iron, they gave to be brought into the treasury of the Lord. Joshua 6:25 And Joshua saved alive Raab the harlot, and all the house of her father, and caused her to dwell in Israel until this day, because she hid the spies which Joshua sent to spy out Jericho. Joshua 6:26 And Joshua adjured them on that day before the Lord, saying, Cursed be the man who shall build that city: he shall lay the foundation of it in his first-born, and he shall set up the gates of it in his youngest son. And so did Hozan of Baethel; he laid the foundation in Abiron his first-born, and set up the gates of it in his youngest surviving son. Joshua 6:27 And the Lord was with Joshua, and his name was in all the land."
Joshua,12,15,"A) the king of Elath, Joshua 12:17"
Joshua,12,15,"B) the king of Taphut, the king of Opher, Joshua 12:18"
Joshua,12,15,"C) the king of Ophec of Aroc, Joshua 12:19"
Joshua,12,15,"D) the king of Asom, Joshua 12:20"
Joshua,12,15,"E) the king of Symoon, the king of Mambroth, the king of Aziph, Joshua 12:21"
Joshua,12,15,"F) the king of Cades, the king of Zachac, Joshua 12:22"
Joshua,12,15,"G) the king of Maredoth, the king of Jecom of Chermel, Joshua 12:23 the king of Odollam belonging to Phennealdor, the king of Gei of Galilee: Joshua 12:24 the king of Thersa: all these were twenty-nine kings."
Joshua,19,48,"A) and the Amorite continued to dwell in Edom and in Salamin: and the hand of Ephraim prevailed against them, and they became tributaries to them. Joshua 19:48 (19:47) This is the inheritance of the tribe of the children of Dan, according to their families, these"
Joshua,19,47,"A) and the children of Dan did not drive out the Amorite who afflicted them in the mountain; and the Amorite would not suffer them to come down into the valley, but they forcibly took from them the border of their portion. Joshua 19:49 ¶ And they proceeded to take possession of the land according to their borders, and the children of Israel gave an inheritance to Joshua the son of Naue among them, Joshua 19:50 by the command of God, and they gave him the city which he asked for, Thamnasarach, which is in the mount of Ephraim; and he built the city, and dwelt in it. Joshua 19:51 These are the divisions which Eleazar the priest divided by lot, and Joshua the son of Naue, and the heads of families among the tribes of Israel, according to the lots, in Selo before the Lord by the doors of the tabernacle of testimony, and they went to take possession of the land."
