book,chapter,verse,text
Matthew,1,1,"The book of the genealogy of Jesus Christ, son of David, son of Abraham:"
Matthew,1,2,"Abraham begat Isaac, and Isaac begat Jacob, and Jacob begat Judah and his brothers."
Matthew,1,3,"And Judah begat Perez and Zerah out of Tamar, and Perez begat Hezron, and Hezron begat Ram."
Matthew,1,4,"And Ram begat Amminadab, and Amminadab begat Nahshon, and Nahshon begat Salmon."
Matthew,1,5,"And Salmon begat Boaz out of Rahab, and Boaz begat Obed out of Ruth, and Obed begat Jesse, 6and Jesse begat David the king. Next: David begat Solomon, out of the wife of Uriah, 7and Solomon begat Rehoboam, and Rehoboam begat Abijah, and Abijah begat Asa."
Matthew,1,8,"And Asa begat Jehoshaphat, and Jehoshaphat begat Joram, and Joram begat Uzziah."
Matthew,1,9,"And Uzziah begat Jotham, and Jotham begat Ahaz, and Ahaz begat Hezekiah."
Matthew,1,10,"And Hezekiah begat Manasseh, and Manasseh begat Amos, and Amos begat Josiah, 11and Josiah begat Jechoniah and his brothers at the time of the carrying away to Babylon."
Matthew,1,12,"And after the carrying away to Babylon: Jechoniah begat Shealtiel, and Shealtiel begat Zerubbabel, 13and Zerubbabel begat Abiud, and Abiud begat Eliakim, and Eliakim begat Azor."
Matthew,1,14,"And Azor begat Zadok, and Zadok begat Achim, and Achim begat Eliud."
Matthew,1,15,"And Eliud begat Eleazar, and Eleazar begat Matthan, and Matthan begat Jacob,"
Matthew,1,16,"And Jacob begat Joseph, the husband of Mary, of whom was born Jesus, the One being called Christ."
Matthew,1,17,"So all the generations from Abraham to David were fourteen generations, and from David until the carrying away to Babylon fourteen generations, and from the carrying away to Babylon to the Christ fourteen generations. The Birth of Jesus (Isaiah 7:10-16; Micah 5:1-6; Luke 2:1-7)"
Matthew,1,18,"Now the birth of Jesus Christ came about in this way: His mother Mary, having been pledged to Joseph, before their coming together, was found holding in womb through the"
Matthew,1,19,"Then Joseph her husband, being righteous and not willing to shame her publicly, resolved to divorce her quietly."
Matthew,1,20,"But on his having pondered these things, behold, an angel of the Lord appeared to him in a dream, saying, “Joseph, son of David, you should not be afraid to receive Mary as"
Matthew,1,21,"And she will bring forth a son, and you shall call His name Jesus, for He will save His people from their sins.”"
