book,chapter,verse,text
Genesis,1,1,In the beginning God created the heaven and the earth.
Genesis,1,2,And the earth was waste and void; and darkness was upon the face of the deep: and the spirit of God moved upon the face of the waters. The First Day
Genesis,1,3,"And God said, Let there be light: and there was light."
Genesis,1,4,"And God saw the light, that it was good: and"
Genesis,1,5,"And God called the light Day, and the darkness he called Night. And there was evening and there was morning, one day. The Second Day"
Genesis,1,6,"And God said, Let there be a firmament in the midst of the waters, and let it divide the waters from"
Genesis,1,7,"And God made the firmament, and divided the waters which were under the firmament"
Genesis,1,8,"And God called the firmament Heaven. And there was evening and there was morning, a second day. The Third Day"
Genesis,1,9,"And God said, Let the waters under the heaven be gathered together unto one place, and let the dry"
Genesis,1,10,And God called the dry land Earth; and the gathering together of the
Genesis,1,11,"And God said, Let the earth put forth grass, herb yielding seed, and fruit tree bearing fruit after its kind, wherein is the seed thereof, upon the"
Genesis,1,12,"And the earth brought forth grass, herb yielding seed after its kind, and tree"
Genesis,1,13,"And there was evening and there was morning, a third day. The Fourth Day"
Genesis,1,14,"And God said, Let there be lights in the firmament of the heaven to divide the day from the night; and let them be for signs, and for seasons, and for days and years: 15and let them be for lights in the"
Genesis,1,16,"And God made the two great lights; the greater light to rule the day, and the lesser light to rule the night: he made the stars also."
Genesis,1,17,"And God set them in the firmament of the heaven to give light upon the earth, 18and to rule over the day and over the night, and to divide the light from the darkness: and God saw that it was good."
Genesis,1,19,"And there was evening and there was morning, a fourth day. The Fifth Day"
Genesis,1,20,"And God said, Let the waters bring forth abundantly the moving creature that hath life, and let fowl"
Genesis,1,21,"And God created the great sea-monsters, and every living creature that moveth, which the waters brought forth abundantly, after their kinds, and"
Genesis,1,22,"And God blessed them, saying, Be"
Genesis,1,23,"And there was evening and there was morning, a fifth day. The Sixth Day"
Genesis,1,24,"And God said, Let the earth bring forth the living creature after its kind, cattle, and creeping thing,"
Genesis,1,25,"And God made the beast of the earth after its kind, and the cattle after their kind, and every thing that creepeth upon the ground after its kind: and God saw that it was good."
